points,algorithm,num_init,time_init_mean,time_init_std,time_prep_mean,time_prep_std,num_query,num_crashed,%crashed,num_timeout,%timeout,num_found,%found,num_f_gt_unavailable,%f_gt_unavailable,num_f_gt_not_found,%f_gt_not_found,num_f_gt_ok,%f_gt_ok,num_f_gt_err_weakly_simple,%f_gt_err_weakly_simple,num_f_gt_err_snap,%f_gt_err_snap,num_f_gt_err_other,%f_gt_err_other,num_not_found,%not_found,num_n_gt_unavailable,%n_gt_unavailable,num_n_gt_found,%n_gt_found,num_n_gt_ok,%n_gt_ok,num_crashed_timeout,%crashed_timeout,num_gt_unavailable,%gt_unavailable,num_gt_found_missmatch,%gt_found_missmatch,num_gt_ok,%gt_ok,num_gt_err_feature,%gt_err_feature,num_gt_err_other,%gt_err_other,time_locate,time_query,time_intersect,time_query_intersect,time_total,time_found_mean,time_found_std,%time_locate,%time_query,%time_intersect,%time_query_intersect
In,CGAL-TEA-CE,34,0.8127760786176472,0.6471291050598523,0.007858501058823526,0.003303723249105451,34000,0,0.0,0,0.0,34000,100.0,0,0.0,0,0.0,34000,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34000,100.0,0,0.0,0,0.0,2.401074006999992,0.0,0.0,2.327072649999993,4.7281466569999555,0.00013906313697058692,6.181843759686433e-5,50.78256198853805,0.0,0.0,49.217438011462576
In,CGAL-TEA-CI,34,0.6111922599117647,0.4854286132888245,0.005884943823529411,0.0024274751534874165,34000,2440,7.176470588235294,0,0.0,31560,92.82352941176471,0,0.0,0,0.0,31560,92.82352941176471,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2440,7.176470588235294,0,0.0,0,0.0,31560,92.82352941176471,0,0.0,0,0.0,1.7970886960000008,0.0,0.0,0.9836177060000016,2.7807064019999745,8.810856787072163e-5,4.219088056415536e-5,64.62705644535058,0.0,0.0,35.372943554650426
In,CGAL-RSA-CE,34,0.8101950499705882,0.6464021362837379,8.361764705882352e-8,1.3441263256564232e-8,34000,1882,5.535294117647059,0,0.0,32118,94.46470588235294,0,0.0,0,0.0,31944,93.95294117647059,0,0.0,0,0.0,174,0.5117647058823529,0,0.0,0,0.0,0,0.0,0,0.0,1882,5.535294117647059,0,0.0,0,0.0,31944,93.95294117647059,0,0.0,174,0.5117647058823529,2.2876871510000125,0.0,0.0,281.817563062998,284.1052502139999,0.008845670658633785,0.003911582726527177,0.805225228775896,0.0,0.0,99.19477477122344
In,CGAL-RSA-CI,34,0.6128354898235294,0.4878502030910789,5.050000000000001e-8,8.068832666876951e-9,34000,3902,11.476470588235294,0,0.0,30098,88.52352941176471,0,0.0,0,0.0,29954,88.1,0,0.0,0,0.0,144,0.4235294117647059,0,0.0,0,0.0,0,0.0,0,0.0,3902,11.476470588235294,0,0.0,0,0.0,29954,88.1,0,0.0,144,0.4235294117647059,1.728470665000004,0.0,0.0,155.41034008000014,157.13881074500097,0.005220905400524984,0.0023474537823527757,1.0999642015904663,0.0,0.0,98.90003579840901
In,VisiLibity1,34,5.490726470588236e-5,2.283771846895397e-5,0.0,0.0,34000,0,0.0,0,0.0,34000,100.0,0,0.0,0,0.0,28143,82.77352941176471,0,0.0,0,0.0,5857,17.226470588235294,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28143,82.77352941176471,0,0.0,5857,17.226470588235294,12.01012382699998,0.0,0.0,958.941357153,970.9514809799927,0.02855739649941155,0.012998370196900394,1.2369437672496284,0.0,0.0,98.76305623275113
In,TriVis,34,1.022735294117647e-6,9.257424312515916e-7,0.016084057735294116,0.006892151526240064,34000,0,0.0,0,0.0,34000,100.0,0,0.0,0,0.0,34000,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34000,100.0,0,0.0,0,0.0,0.007934492999999963,0.24538921399999988,0.047367176999999656,0.29275639099999845,0.30069088399999994,8.843849529411763e-6,5.4839640976868124e-6,2.638754090064122,81.60846472485676,15.752781185078984,97.36124590993538
BB,CGAL-TEA-CE,34,0.8148786534705885,0.6497097544596161,0.007883140088235293,0.003309217751004411,34000,0,0.0,0,0.0,19331,56.85588235294118,0,0.0,0,0.0,19331,56.85588235294118,0,0.0,0,0.0,0,0.0,14669,43.14411764705882,0,0.0,0,0.0,14669,43.14411764705882,0,0.0,0,0.0,0,0.0,34000,100.0,0,0.0,0,0.0,1.3544874430000093,0.0,0.0,1.4293513380000074,2.7838387809999903,0.00014400904148776527,6.297009438656591e-5,48.65538379034508,0.0,0.0,51.34461620965587
BB,CGAL-TEA-CI,34,0.6122393277058822,0.4896081640954662,0.0058967348529411784,0.0024358560377085426,34000,1709,5.026470588235294,0,0.0,17622,51.82941176470588,0,0.0,0,0.0,17622,51.82941176470588,0,0.0,0,0.0,0,0.0,14669,43.14411764705882,0,0.0,0,0.0,14669,43.14411764705882,1709,5.026470588235294,0,0.0,0,0.0,32291,94.9735294117647,0,0.0,0,0.0,0.9771572749999994,0.0,0.0,0.5776257619999996,1.5547830370000013,8.822965821132683e-5,3.9800416308070155e-5,62.84846513925522,0.0,0.0,37.15153486074463
BB,CGAL-RSA-CE,34,0.8135931791470586,0.6479549331386613,9.188235294117649e-8,2.2661895272156812e-8,34000,1208,3.552941176470588,0,0.0,18123,53.30294117647059,0,0.0,0,0.0,18028,53.023529411764706,0,0.0,0,0.0,95,0.27941176470588236,14669,43.14411764705882,0,0.0,0,0.0,14669,43.14411764705882,1208,3.552941176470588,0,0.0,0,0.0,32697,96.16764705882353,0,0.0,95,0.27941176470588236,1.2926519200000055,0.0,0.0,162.01165653099977,163.30430845099977,0.00901088718484797,0.003958753406498969,0.7915602057663236,0.0,0.0,99.20843979423368
BB,CGAL-RSA-CI,34,0.6124546745294118,0.48750767767161496,4.96764705882353e-8,8.487854382248806e-9,34000,2625,7.720588235294118,0,0.0,16706,49.13529411764706,0,0.0,0,0.0,16634,48.923529411764704,0,0.0,0,0.0,72,0.21176470588235294,14669,43.14411764705882,0,0.0,0,0.0,14669,43.14411764705882,2625,7.720588235294118,0,0.0,0,0.0,31303,92.06764705882352,0,0.0,72,0.21176470588235294,0.9302667759999937,0.0,0.0,87.74893327800025,88.67920005399986,0.00530822459320004,0.002362400336496237,1.0490247717993868,0.0,0.0,98.95097522820105
BB,VisiLibity1,34,5.317558823529411e-5,2.0451777756495144e-5,0.0,0.0,34000,0,0.0,0,0.0,19331,56.85588235294118,0,0.0,0,0.0,15744,46.305882352941175,0,0.0,0,0.0,3587,10.55,14669,43.14411764705882,0,0.0,0,0.0,14669,43.14411764705882,0,0.0,0,0.0,0,0.0,30413,89.45,0,0.0,3587,10.55,6.897012175000023,0.0,0.0,550.5444888869946,557.4415010619991,0.028836661376131556,0.013053141810063658,1.237262055634593,0.0,0.0,98.7627379443646
BB,TriVis,34,6.576470588235291e-7,6.935252887986193e-7,0.016061450176470586,0.006944880040084882,34000,0,0.0,0,0.0,19331,56.85588235294118,0,0.0,0,0.0,19331,56.85588235294118,0,0.0,0,0.0,0,0.0,14669,43.14411764705882,0,0.0,0,0.0,14669,43.14411764705882,0,0.0,0,0.0,0,0.0,34000,100.0,0,0.0,0,0.0,0.004408541999999981,0.14874784099999977,0.0279766310000001,0.17672447199999997,0.1811330139999992,9.370079871708614e-6,5.720855622892117e-6,2.4338699515042577,82.12077838002541,15.445351668470677,97.56613004849615
Ver,CGAL-TEA-CE,34,0.8597089979705883,0.7412914545633416,0.00804561005882353,0.0034610059466007497,34000,4,0.011764705882352941,6,0.01764705882352941,33984,99.95294117647059,0,0.0,0,0.0,33984,99.95294117647059,0,0.0,0,0.0,0,0.0,6,0.01764705882352941,0,0.0,0,0.0,6,0.01764705882352941,10,0.029411764705882352,0,0.0,0,0.0,33990,99.97058823529412,0,0.0,0,0.0,1.1816072730000042,0.0,0.0,1.3524902210000012,2.534097494000021,7.456736976224166e-5,4.7318711267999125e-5,46.62832727618784,0.0,0.0,53.37167272381154
Ver,CGAL-TEA-CI,34,0.6109408345588236,0.48543149731887436,0.005884760147058823,0.002432501429669618,34000,1456,4.2823529411764705,10,0.029411764705882352,32528,95.67058823529412,0,0.0,0,0.0,32528,95.67058823529412,0,0.0,0,0.0,0,0.0,6,0.01764705882352941,0,0.0,0,0.0,6,0.01764705882352941,1466,4.311764705882353,0,0.0,0,0.0,32534,95.68823529411765,0,0.0,0,0.0,0.8281182389999974,0.0,0.0,0.6137049769999995,1.4418232160000017,4.432560304968033e-5,2.9536315304793742e-5,57.43549069055886,0.0,0.0,42.5645093094408
Ver,CGAL-RSA-CE,34,0.8132406168529415,0.6467059461691371,9.308823529411764e-8,2.8826931480988845e-8,34000,1315,3.8676470588235294,0,0.0,32679,96.11470588235294,9,0.026470588235294117,0,0.0,32537,95.69705882352942,0,0.0,0,0.0,133,0.3911764705882353,6,0.01764705882352941,0,0.0,0,0.0,6,0.01764705882352941,1315,3.8676470588235294,9,0.026470588235294117,0,0.0,32543,95.71470588235294,0,0.0,133,0.3911764705882353,1.2207114730000033,0.0,0.0,178.7796220379981,180.00033351100131,0.005508134689280618,0.003842030507868946,0.6781717840124976,0.0,0.0,99.32182821598573
Ver,CGAL-RSA-CI,34,0.6139818273529414,0.4879996567559219,4.805882352941176e-8,7.364703604357452e-9,34000,4795,14.102941176470589,0,0.0,29199,85.87941176470588,8,0.023529411764705882,0,0.0,22013,64.74411764705883,273,0.8029411764705883,0,0.0,6905,20.308823529411764,6,0.01764705882352941,0,0.0,0,0.0,6,0.01764705882352941,4795,14.102941176470589,8,0.023529411764705882,0,0.0,22019,64.76176470588236,273,0.8029411764705883,6905,20.308823529411764,0.8879399000000009,0.0,0.0,95.52586978799924,96.41380968799974,0.0033019558782149986,0.002326847557366556,0.9209675490196083,0.0,0.0,99.07903245097987
Ver,VisiLibity1,34,5.207755882352942e-5,2.142403958484017e-5,0.0,0.0,34000,0,0.0,0,0.0,34000,100.0,10,0.029411764705882352,6,0.01764705882352941,29774,87.57058823529412,479,1.4088235294117648,0,0.0,3731,10.973529411764705,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,0.029411764705882352,6,0.01764705882352941,29774,87.57058823529412,479,1.4088235294117648,3731,10.973529411764705,5.67150487400003,0.0,0.0,994.2122903940041,999.8837952679888,0.02940834691964673,0.013347296487081212,0.5672164006298306,0.0,0.0,99.4327835993717
Ver,TriVis,34,4.2070588235294127e-7,4.228636523150197e-7,0.016090258323529415,0.00685592021797845,34000,0,0.0,0,0.0,34000,100.0,10,0.029411764705882352,6,0.01764705882352941,33484,98.48235294117647,500,1.4705882352941178,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,0.029411764705882352,6,0.01764705882352941,33484,98.48235294117647,500,1.4705882352941178,0,0.0,0.01154649399999991,0.15623141700000123,0.030166163000000447,0.18639758000000103,0.19794407400000133,5.821884529411804e-6,4.134291627722537e-6,5.833210243010273,78.92704936445847,15.2397403925314,94.16678975698953
NearV,CGAL-TEA-CE,34,0.8168980401470591,0.653932040866788,0.007860968911764705,0.0033014638737203766,34000,0,0.0,1,0.0029411764705882352,20585,60.544117647058826,0,0.0,0,0.0,20585,60.544117647058826,0,0.0,0,0.0,0,0.0,13414,39.45294117647059,0,0.0,0,0.0,13414,39.45294117647059,1,0.0029411764705882352,0,0.0,0,0.0,33999,99.99705882352941,0,0.0,0,0.0,1.284534085,0.0,0.0,0.9223728329999974,2.2069069179999823,0.00010720946893368872,8.4732575527543e-5,58.20517732411269,0.0,0.0,41.79482267588799
